Task 00: Arrived: 13, Finshed: 39, Response: 26, Norm Response: 2.000
Task 01: Arrived: 23, Finshed: 36, Response: 13, Norm Response: 2.167
Task 02: Arrived: 24, Finshed: 33, Response: 9, Norm Response: 1.800
Task 03: Arrived: 25, Finshed: 49, Response: 24, Norm Response: 3.000
Task 04: Arrived: 30, Finshed: 56, Response: 26, Norm Response: 6.500
Task 05: Arrived: 31, Finshed: 35, Response: 4, Norm Response: 2.000
Task 06: Arrived: 38, Finshed: 41, Response: 3, Norm Response: 1.500
Task 07: Arrived: 46, Finshed: 71, Response: 25, Norm Response: 2.500
Task 08: Arrived: 48, Finshed: 52, Response: 4, Norm Response: 1.333
Task 09: Arrived: 61, Finshed: 154, Response: 93, Norm Response: 5.812
Task 10: Arrived: 75, Finshed: 99, Response: 24, Norm Response: 1.846
Task 11: Arrived: 78, Finshed: 89, Response: 11, Norm Response: 1.375
Task 12: Arrived: 91, Finshed: 96, Response: 5, Norm Response: 2.500
Task 13: Arrived: 98, Finshed: 103, Response: 5, Norm Response: 1.250
Task 14: Arrived: 104, Finshed: 113, Response: 9, Norm Response: 1.800
Task 15: Arrived: 111, Finshed: 147, Response: 36, Norm Response: 2.400
Task 16: Arrived: 116, Finshed: 135, Response: 19, Norm Response: 2.111
Task 17: Arrived: 117, Finshed: 155, Response: 38, Norm Response: 38.000
Task 18: Arrived: 128, Finshed: 131, Response: 3, Norm Response: 1.000
Task 19: Arrived: 133, Finshed: 137, Response: 4, Norm Response: 2.000
Task 20: Arrived: 133, Finshed: 142, Response: 9, Norm Response: 1.800
Task 21: Arrived: 145, Finshed: 148, Response: 3, Norm Response: 3.000
Task 22: Arrived: 146, Finshed: 153, Response: 7, Norm Response: 1.750
Task 23: Arrived: 148, Finshed: 149, Response: 1, Norm Response: 1.000
Task 24: Arrived: 160, Finshed: 165, Response: 5, Norm Response: 1.000
Task 25: Arrived: 172, Finshed: 203, Response: 31, Norm Response: 2.067
Task 26: Arrived: 175, Finshed: 198, Response: 23, Norm Response: 2.875
Task 27: Arrived: 178, Finshed: 186, Response: 8, Norm Response: 2.000
Task 28: Arrived: 186, Finshed: 190, Response: 4, Norm Response: 1.000
Task 29: Arrived: 197, Finshed: 208, Response: 11, Norm Response: 2.200
Task 30: Arrived: 209, Finshed: 211, Response: 2, Norm Response: 1.000
Task 31: Arrived: 212, Finshed: 240, Response: 28, Norm Response: 2.154
Task 32: Arrived: 213, Finshed: 227, Response: 14, Norm Response: 1.400
Task 33: Arrived: 227, Finshed: 252, Response: 25, Norm Response: 2.273
Task 34: Arrived: 241, Finshed: 248, Response: 7, Norm Response: 2.333
Task 35: Arrived: 247, Finshed: 251, Response: 4, Norm Response: 1.333
Task 36: Arrived: 259, Finshed: 262, Response: 3, Norm Response: 1.000
Task 37: Arrived: 270, Finshed: 271, Response: 1, Norm Response: 1.000
Task 38: Arrived: 281, Finshed: 287, Response: 6, Norm Response: 1.000
Task 39: Arrived: 295, Finshed: 300, Response: 5, Norm Response: 1.000
Task 40: Arrived: 305, Finshed: 307, Response: 2, Norm Response: 1.000
Task 41: Arrived: 312, Finshed: 314, Response: 2, Norm Response: 1.000
Task 42: Arrived: 318, Finshed: 328, Response: 10, Norm Response: 1.000
Task 43: Arrived: 325, Finshed: 381, Response: 56, Norm Response: 3.294
Task 44: Arrived: 327, Finshed: 335, Response: 8, Norm Response: 1.143
Task 45: Arrived: 332, Finshed: 344, Response: 12, Norm Response: 1.333
Task 46: Arrived: 346, Finshed: 353, Response: 7, Norm Response: 1.750
Task 47: Arrived: 352, Finshed: 358, Response: 6, Norm Response: 1.200
Task 48: Arrived: 355, Finshed: 382, Response: 27, Norm Response: 2.455
Task 49: Arrived: 358, Finshed: 359, Response: 1, Norm Response: 1.000
Average Response Time: 14.180
Average Norm Response Time: 2.625
Number Context Switches: 85
