Task 00: Arrived: 13, Finshed: 26, Response: 13, Norm Response: 1.000
Task 01: Arrived: 23, Finshed: 32, Response: 9, Norm Response: 1.500
Task 02: Arrived: 24, Finshed: 37, Response: 13, Norm Response: 2.600
Task 03: Arrived: 25, Finshed: 45, Response: 20, Norm Response: 2.500
Task 04: Arrived: 30, Finshed: 49, Response: 19, Norm Response: 4.750
Task 05: Arrived: 31, Finshed: 51, Response: 20, Norm Response: 10.000
Task 06: Arrived: 38, Finshed: 53, Response: 15, Norm Response: 7.500
Task 07: Arrived: 46, Finshed: 63, Response: 17, Norm Response: 1.700
Task 08: Arrived: 48, Finshed: 66, Response: 18, Norm Response: 6.000
Task 09: Arrived: 61, Finshed: 82, Response: 21, Norm Response: 1.312
Task 10: Arrived: 75, Finshed: 95, Response: 20, Norm Response: 1.538
Task 11: Arrived: 78, Finshed: 103, Response: 25, Norm Response: 3.125
Task 12: Arrived: 91, Finshed: 105, Response: 14, Norm Response: 7.000
Task 13: Arrived: 98, Finshed: 109, Response: 11, Norm Response: 2.750
Task 14: Arrived: 104, Finshed: 114, Response: 10, Norm Response: 2.000
Task 15: Arrived: 111, Finshed: 129, Response: 18, Norm Response: 1.200
Task 16: Arrived: 116, Finshed: 138, Response: 22, Norm Response: 2.444
Task 17: Arrived: 117, Finshed: 139, Response: 22, Norm Response: 22.000
Task 18: Arrived: 128, Finshed: 142, Response: 14, Norm Response: 4.667
Task 19: Arrived: 133, Finshed: 144, Response: 11, Norm Response: 5.500
Task 20: Arrived: 133, Finshed: 149, Response: 16, Norm Response: 3.200
Task 21: Arrived: 145, Finshed: 150, Response: 5, Norm Response: 5.000
Task 22: Arrived: 146, Finshed: 154, Response: 8, Norm Response: 2.000
Task 23: Arrived: 148, Finshed: 155, Response: 7, Norm Response: 7.000
Task 24: Arrived: 160, Finshed: 165, Response: 5, Norm Response: 1.000
Task 25: Arrived: 172, Finshed: 187, Response: 15, Norm Response: 1.000
Task 26: Arrived: 175, Finshed: 195, Response: 20, Norm Response: 2.500
Task 27: Arrived: 178, Finshed: 199, Response: 21, Norm Response: 5.250
Task 28: Arrived: 186, Finshed: 203, Response: 17, Norm Response: 4.250
Task 29: Arrived: 197, Finshed: 208, Response: 11, Norm Response: 2.200
Task 30: Arrived: 209, Finshed: 211, Response: 2, Norm Response: 1.000
Task 31: Arrived: 212, Finshed: 225, Response: 13, Norm Response: 1.000
Task 32: Arrived: 213, Finshed: 235, Response: 22, Norm Response: 2.200
Task 33: Arrived: 227, Finshed: 246, Response: 19, Norm Response: 1.727
Task 34: Arrived: 241, Finshed: 249, Response: 8, Norm Response: 2.667
Task 35: Arrived: 247, Finshed: 252, Response: 5, Norm Response: 1.667
Task 36: Arrived: 259, Finshed: 262, Response: 3, Norm Response: 1.000
Task 37: Arrived: 270, Finshed: 271, Response: 1, Norm Response: 1.000
Task 38: Arrived: 281, Finshed: 287, Response: 6, Norm Response: 1.000
Task 39: Arrived: 295, Finshed: 300, Response: 5, Norm Response: 1.000
Task 40: Arrived: 305, Finshed: 307, Response: 2, Norm Response: 1.000
Task 41: Arrived: 312, Finshed: 314, Response: 2, Norm Response: 1.000
Task 42: Arrived: 318, Finshed: 328, Response: 10, Norm Response: 1.000
Task 43: Arrived: 325, Finshed: 345, Response: 20, Norm Response: 1.176
Task 44: Arrived: 327, Finshed: 352, Response: 25, Norm Response: 3.571
Task 45: Arrived: 332, Finshed: 361, Response: 29, Norm Response: 3.222
Task 46: Arrived: 346, Finshed: 365, Response: 19, Norm Response: 4.750
Task 47: Arrived: 352, Finshed: 370, Response: 18, Norm Response: 3.600
Task 48: Arrived: 355, Finshed: 381, Response: 26, Norm Response: 2.364
Task 49: Arrived: 358, Finshed: 382, Response: 24, Norm Response: 24.000
Average Response Time: 14.320
Average Norm Response Time: 3.689
Number Context Switches: 62
