Task 00: Arrived: 13, Finshed: 26, Response: 13, Norm Response: 1.000
Task 01: Arrived: 23, Finshed: 45, Response: 22, Norm Response: 3.667
Task 02: Arrived: 24, Finshed: 31, Response: 7, Norm Response: 1.400
Task 03: Arrived: 25, Finshed: 56, Response: 31, Norm Response: 3.875
Task 04: Arrived: 30, Finshed: 37, Response: 7, Norm Response: 1.750
Task 05: Arrived: 31, Finshed: 33, Response: 2, Norm Response: 1.000
Task 06: Arrived: 38, Finshed: 40, Response: 2, Norm Response: 1.000
Task 07: Arrived: 46, Finshed: 66, Response: 20, Norm Response: 2.000
Task 08: Arrived: 48, Finshed: 51, Response: 3, Norm Response: 1.000
Task 09: Arrived: 61, Finshed: 82, Response: 21, Norm Response: 1.312
Task 10: Arrived: 75, Finshed: 109, Response: 34, Norm Response: 2.615
Task 11: Arrived: 78, Finshed: 90, Response: 12, Norm Response: 1.500
Task 12: Arrived: 91, Finshed: 93, Response: 2, Norm Response: 1.000
Task 13: Arrived: 98, Finshed: 102, Response: 4, Norm Response: 1.000
Task 14: Arrived: 104, Finshed: 114, Response: 10, Norm Response: 2.000
Task 15: Arrived: 111, Finshed: 151, Response: 40, Norm Response: 2.667
Task 16: Arrived: 116, Finshed: 126, Response: 10, Norm Response: 1.111
Task 17: Arrived: 117, Finshed: 118, Response: 1, Norm Response: 1.000
Task 18: Arrived: 128, Finshed: 131, Response: 3, Norm Response: 1.000
Task 19: Arrived: 133, Finshed: 135, Response: 2, Norm Response: 1.000
Task 20: Arrived: 133, Finshed: 140, Response: 7, Norm Response: 1.400
Task 21: Arrived: 145, Finshed: 146, Response: 1, Norm Response: 1.000
Task 22: Arrived: 146, Finshed: 155, Response: 9, Norm Response: 2.250
Task 23: Arrived: 148, Finshed: 149, Response: 1, Norm Response: 1.000
Task 24: Arrived: 160, Finshed: 165, Response: 5, Norm Response: 1.000
Task 25: Arrived: 172, Finshed: 208, Response: 36, Norm Response: 2.400
Task 26: Arrived: 175, Finshed: 187, Response: 12, Norm Response: 1.500
Task 27: Arrived: 178, Finshed: 182, Response: 4, Norm Response: 1.000
Task 28: Arrived: 186, Finshed: 191, Response: 5, Norm Response: 1.250
Task 29: Arrived: 197, Finshed: 202, Response: 5, Norm Response: 1.000
Task 30: Arrived: 209, Finshed: 211, Response: 2, Norm Response: 1.000
Task 31: Arrived: 212, Finshed: 235, Response: 23, Norm Response: 1.769
Task 32: Arrived: 213, Finshed: 223, Response: 10, Norm Response: 1.000
Task 33: Arrived: 227, Finshed: 249, Response: 22, Norm Response: 2.000
Task 34: Arrived: 241, Finshed: 244, Response: 3, Norm Response: 1.000
Task 35: Arrived: 247, Finshed: 252, Response: 5, Norm Response: 1.667
Task 36: Arrived: 259, Finshed: 262, Response: 3, Norm Response: 1.000
Task 37: Arrived: 270, Finshed: 271, Response: 1, Norm Response: 1.000
Task 38: Arrived: 281, Finshed: 287, Response: 6, Norm Response: 1.000
Task 39: Arrived: 295, Finshed: 300, Response: 5, Norm Response: 1.000
Task 40: Arrived: 305, Finshed: 307, Response: 2, Norm Response: 1.000
Task 41: Arrived: 312, Finshed: 314, Response: 2, Norm Response: 1.000
Task 42: Arrived: 318, Finshed: 328, Response: 10, Norm Response: 1.000
Task 43: Arrived: 325, Finshed: 382, Response: 57, Norm Response: 3.353
Task 44: Arrived: 327, Finshed: 335, Response: 8, Norm Response: 1.143
Task 45: Arrived: 332, Finshed: 344, Response: 12, Norm Response: 1.333
Task 46: Arrived: 346, Finshed: 350, Response: 4, Norm Response: 1.000
Task 47: Arrived: 352, Finshed: 357, Response: 5, Norm Response: 1.000
Task 48: Arrived: 355, Finshed: 369, Response: 14, Norm Response: 1.273
Task 49: Arrived: 358, Finshed: 359, Response: 1, Norm Response: 1.000
Average Response Time: 10.520
Average Norm Response Time: 1.445
Number Context Switches: 80
